"","Unweighted_Count","Weighted_Count.total","Weighted_Count.low_srh","Proportion","Lower_CI","Upper_CI","SE","Education"
"nhanes01_02w",55,1536594.470541,249735.337640459,28.0014488716612,20.4364967927304,37.0622698979723,3.92385880106413,"college"
"nhanes03_04w",54,2066028.507112,488405.134145845,30.6667691098116,22.4856670389096,40.2777703573199,4.18189580537667,"college"
"nhanes05_06w",58,1947366.66219,271464.132897124,28.9780786617192,22.1767395476525,36.8768988953128,3.46591427725895,"college"
"nhanes07_08w",80,2372466.568997,520932.288525328,34.2714608439574,23.7236565192559,46.6413060450001,5.49013818560175,"college"
"nhanes09_10w",95,2707412.309723,368854.580846649,34.0841293352936,28.0781149399993,40.6487618068499,2.97850381087983,"college"
"nhanes11_12w",100,3242640.094606,632360.696598031,34.6407693822097,24.5264154867817,46.3638612379576,5.24934359983543,"college"
"nhanes13_14w",103,3464657.99755,469678.581049893,29.5909182071175,21.9879976182842,38.5245177022734,3.90517960677058,"college"
"nhanes15_16w",127,4426316.320369,387282.966126809,30.9311727404457,23.9929866621188,38.8501860835499,3.50534002734242,"college"
"nhanes17_18w",122,3857760.44696603,725562.330783583,27.2008968768796,18.998440351377,37.3133845429275,4.32614535392689,"college"
